Year,RaceNumber,RaceName,DriverNumber,Driver,Team,GridPosition,LapNumber,Compound,TyreLife,NumberPitStops_x,Tyres_change,TrackStatus,ResultStatus,QualyPosition,DriverStandings,PointsChampionship,Position,TimeLap,TimeDiffAhead,TimeDiffBehind,TimeDiffToLeader,TimePit,NumberPitStops_y,HasPitLap,DriverAhead,DriverBehind,DriverAheadPit,DriverBehindPit,GoodPitStop
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,11,SOFT,14,0,0,1,Finished,3,0,0,3,00:01:39.942000,0 days 00:00:05.101000,0 days 00:00:03.186000,0 days 00:00:08.419000,0,0,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,12,SOFT,15,0,0,1,Finished,3,0,0,3,00:01:40.097000,0 days 00:00:05.788000,0 days 00:00:02.843000,0 days 00:00:09.260000,0,0,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,13,SOFT,16,0,0,1,Finished,3,0,0,3,00:01:40.165000,0 days 00:00:06.419000,0 days 00:00:02.670000,0 days 00:00:10.146000,0,0,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,14,SOFT,17,0,0,2,Finished,3,0,0,4,00:01:43.029000,0 days 00:00:00.324000,0 days 00:00:05.245000,0 days 00:00:13.546000,24.666,1,1,PER,RUS,0,0,1
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,15,SOFT,1,1,0,2,Finished,3,0,0,5,00:01:58.327000,0 days 00:00:08.316000,0 days 00:00:06.466000,0 days 00:00:29.832000,0,1,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,16,SOFT,2,1,0,1,Finished,3,0,0,3,00:01:37.477000,0 days 00:00:08.888000,0 days 00:00:05.175000,0 days 00:00:09.649000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,17,SOFT,3,1,0,1,Finished,3,0,0,3,00:01:37.172000,0 days 00:00:08.473000,0 days 00:00:04.637000,0 days 00:00:09.301000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,18,SOFT,4,1,0,1,Finished,3,0,0,3,00:01:37.561000,0 days 00:00:08.317000,0 days 00:00:03.928000,0 days 00:00:09.228000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,19,SOFT,5,1,0,1,Finished,3,0,0,3,00:01:37.581000,0 days 00:00:08.170000,0 days 00:00:03.561000,0 days 00:00:09.401000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,20,SOFT,6,1,0,1,Finished,3,0,0,3,00:01:38.059000,0 days 00:00:07.972000,0 days 00:00:03.034000,0 days 00:00:09.898000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,21,SOFT,7,1,0,1,Finished,3,0,0,3,00:01:37.721000,0 days 00:00:07.399000,0 days 00:00:02.942000,0 days 00:00:09.812000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,22,SOFT,8,1,0,1,Finished,3,0,0,3,00:01:37.914000,0 days 00:00:07.070000,0 days 00:00:02.890000,0 days 00:00:09.974000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,23,SOFT,9,1,0,1,Finished,3,0,0,3,00:01:38.244000,0 days 00:00:07.223000,0 days 00:00:02.606000,0 days 00:00:10.444000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,24,SOFT,10,1,0,1,Finished,3,0,0,3,00:01:38.242000,0 days 00:00:07.278000,0 days 00:00:02.519000,0 days 00:00:10.773000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,25,SOFT,11,1,0,1,Finished,3,0,0,3,00:01:38.264000,0 days 00:00:07.170000,0 days 00:00:02.674000,0 days 00:00:10.976000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,26,SOFT,12,1,0,1,Finished,3,0,0,3,00:01:38.444000,0 days 00:00:07.138000,0 days 00:00:02.923000,0 days 00:00:11.049000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,27,SOFT,13,1,0,1,Finished,3,0,0,3,00:01:38.846000,0 days 00:00:07.161000,0 days 00:00:02.640000,0 days 00:00:11.110000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,28,SOFT,14,1,0,1,Finished,3,0,0,3,00:01:38.729000,0 days 00:00:07.108000,0 days 00:00:02.608000,0 days 00:00:10.788000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,29,SOFT,15,1,0,1,Finished,3,0,0,3,00:01:38.953000,0 days 00:00:06.677000,0 days 00:00:02.645000,0 days 00:00:10.854000,0,1,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,30,SOFT,16,1,0,1,Finished,3,0,0,3,00:01:39.004000,0 days 00:00:04.144000,0 days 00:00:02.520000,0 days 00:00:10.504000,0,1,0,VER,PER,1,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,31,SOFT,17,1,0,1,Finished,3,0,0,2,00:01:39.105000,0 days 00:00:08.064000,0 days 00:00:02.707000,0 days 00:00:08.064000,0,1,0,LEC,PER,1,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,32,SOFT,18,1,0,1,Finished,3,0,0,1,00:01:39.386000,0 days 00:00:00,0 days 00:00:02.543000,0 days 00:00:00,0,1,0,,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,33,SOFT,19,1,0,1,Finished,3,0,0,1,00:01:41.915000,0 days 00:00:00,0 days 00:00:02.496000,0 days 00:00:00,24.438,2,1,,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,34,MEDIUM,1,2,0,1,Finished,3,0,0,3,00:01:57.101000,0 days 00:00:15.154000,0 days 00:00:02.451000,0 days 00:00:17.068000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,35,MEDIUM,2,2,1,1,Finished,3,0,0,3,00:01:36.454000,0 days 00:00:14.877000,0 days 00:00:02.299000,0 days 00:00:17.021000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,36,MEDIUM,3,2,1,1,Finished,3,0,0,3,00:01:36.600000,0 days 00:00:14.557000,0 days 00:00:02.210000,0 days 00:00:17.060000,0,2,0,VER,PER,0,0,0
